type,latitude_deg,longitude_deg
small_airport,36.66329956054688,-80.49949645996094
small_airport,46.67350006103501,-117.44300079346
small_airport,47.17839813232422,-122.77200317382812
small_airport,44.304298400878906,-89.05010223388672
small_airport,46.25,-117.2490005493164
small_airport,38.82889938354492,-79.86609649658203
small_airport,33.033401489257805,-101.93399810791016
small_airport,62.94359970092773,-152.27000427246094
heliport,60.1058739754,-149.446249008
small_airport,32.945999145507805,-86.51390075683594
heliport,34.047298431396484,-94.35489654541016
heliport,34.60810089111328,-111.86499786376952
closed,43.341701507568,-85.775001525879
heliport,34.368240591699994,-117.370058745
small_airport,38.79990005493164,-120.73400115966795
heliport,34.03779983520508,-118.15399932861328
heliport,39.24530029296875,-106.24600219726562
heliport,41.62730026245117,-72.72750091552734
small_airport,28.589399337768555,-81.14420318603516
heliport,28.666400909423828,-81.37059783935547
small_airport,28.78190040588379,-81.1592025756836
heliport,32.47930145263672,-84.9791030883789
small_airport,32.674400329589844,-82.77110290527344
small_airport,41.66109848022461,-90.74130249023438
small_airport,42.60820007324219,-112.03199768066406
small_airport,39.8849983215332,-86.50669860839844
heliport,40.45859909057617,-87.65950012207031
heliport,40.13090133666992,-85.69580078125
small_airport,39.01620101928711,-90.31819915771484
small_airport,30.68630027770996,-81.90570068359375
small_airport,37.03609848022461,-97.5864028930664
small_airport,38.54059982299805,-97.00330352783205
heliport,37.051700592041016,-88.64689636230469
small_airport,32.638999938964844,-91.77369689941406
small_airport,38.12580108642578,-89.46389770507812
small_airport,30.70599937438965,-91.07740020751952
heliport,42.625099182128906,-71.18009948730469
seaplane_base,38.999199,-76.456001
seaplane_base,46.77890014648438,-68.50029754638672
heliport,43.04949951171875,-83.67970275878906
seaplane_base,47.89960098266602,-92.55740356445312
heliport,38.641700744628906,-90.48429870605469
small_airport,48.789100646972656,-114.87999725341795
small_airport,34.47529983520508,-77.5813980102539
small_airport,40.84360122680664,-100.65299987792969
small_airport,43.64450073242188,-72.08699798583984
heliport,40.741798400878906,-74.13710021972656
small_airport,33.008611,-104.540278
small_airport,38.76390075683594,-119.0270004272461
heliport,41.70009994506836,-73.94960021972656
