age,gender,split,final
44,M,1:22:13,2:49:27
58,M,1:22:48,2:49:51
38,M,1:23:53,2:49:37
33,M,1:24:03,2:49:43
43,M,1:21:54,2:49:57
30,M,1:23:06,2:49:44
28,M,1:14:09,2:49:29
27,M,1:23:16,2:49:42
50,M,1:22:07,2:49:48
47,M,1:22:51,2:49:36
37,M,1:18:29,2:49:40
37,W,1:24:03,2:49:35
36,M,1:25:27,2:49:50
41,M,1:19:52,2:50:15
48,M,1:21:45,2:49:48
43,M,1:21:24,2:49:48
41,M,1:23:07,2:50:03
27,M,1:24:26,2:49:54
24,M,1:21:20,2:50:11
34,M,1:23:38,2:52:10
33,M,1:22:59,2:51:23
37,M,1:16:14,2:49:56
40,M,1:23:39,2:50:57
40,M,1:20:55,2:50:04
38,M,1:16:38,2:49:59
41,M,1:24:17,2:50:04
25,M,1:23:38,2:50:15
44,M,1:22:17,2:50:28
27,M,1:23:29,2:50:40
29,M,1:22:34,2:50:31
31,M,1:19:54,2:50:29
37,M,1:23:15,2:50:14
26,W,1:18:56,2:50:06
51,M,1:24:05,2:50:35
34,M,1:21:39,2:50:14
19,M,1:21:28,2:50:17
27,M,1:21:20,2:50:55
29,M,1:23:19,2:50:25
48,M,1:24:22,2:50:37
50,M,1:22:20,2:50:27
38,M,1:21:32,2:50:28
27,M,1:20:36,2:50:22
38,M,1:20:21,2:50:21
33,M,1:23:29,2:50:49
39,M,1:22:21,2:50:53
35,M,1:22:51,2:51:01
51,M,1:23:47,2:50:30
21,M,1:22:51,2:51:43
37,M,1:24:56,2:50:33
27,W,1:22:46,2:50:23
41,M,1:23:17,2:50:50
27,M,1:23:51,2:50:58
43,M,1:21:46,2:50:50
33,M,1:19:27,2:50:36
40,M,1:22:39,2:50:35
23,M,1:17:27,2:50:37
38,M,1:22:57,2:50:49
41,M,1:25:17,2:51:23
37,M,1:21:20,2:50:36
30,M,1:23:21,2:53:48
39,M,1:23:56,2:51:04
51,M,1:24:20,2:50:44
43,M,1:21:29,2:50:54
37,M,1:22:29,2:50:52
31,M,1:22:44,2:50:51
41,M,1:23:47,2:50:48
41,M,1:25:40,2:51:20
40,M,1:24:12,2:51:02
46,M,1:24:15,2:51:07
49,M,1:22:50,2:50:56
46,M,1:23:58,2:51:23
34,M,1:24:21,2:51:35
27,M,1:23:51,2:51:22
29,M,1:23:11,2:52:35
28,M,1:18:54,2:51:00
42,M,1:22:47,2:51:15
40,M,1:24:17,2:51:09
36,M,1:16:45,2:51:38
43,M,1:19:40,2:51:55
31,M,1:23:01,2:51:19
31,M,1:22:39,2:51:36
35,W,1:24:35,2:51:06
32,M,1:24:50,2:51:18
35,M,1:20:18,2:51:12
33,M,1:17:18,2:51:20
39,M,1:24:30,2:51:31
50,M,1:22:35,2:51:37
32,M,1:23:37,2:51:25
51,M,1:24:06,2:51:34
53,M,1:25:48,2:51:21
35,M,1:23:59,2:51:57
35,M,1:24:38,2:51:31
41,M,1:20:13,2:51:23
31,W,1:25:01,2:51:23
31,M,1:26:05,2:51:40
40,M,1:20:34,2:51:31
